focal0	Venus0	treatment	plate	focal96	venus96	focal_f	venus_f	r_f	r_v	w_ma	r_anc	w_anc	stma	stanc	s	st	rel	rel_unscaled	line	line2	gen	anc	rep	type	genic	exonic	intronic	intergenic	utr5	utr3	fold0	fold4	fold2	fold3	CDS	nonsynonymous	nonsense	SNP	indel
765	598	0	B	21292	19545	212920	195450	0.058633291	0.06030697	-0.001673679	0.058633291	-0.001673679	-0.019785786	-0.019785786	0	0	1	1	2931anc	2931_2	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
432	520	0	C	13661	31232	136610	312320	0.059963123	0.066645362	-0.006682239	0.061842395	-0.004802967	-0.074896436	-0.053833022	0.001879272	0.021063414	0.978936586	0.998120728	2931anc	2931_3	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
704	1076	0	C	28404	55816	284040	558160	0.062500958	0.0651187	-0.002617742	0.061842395	-0.003276305	-0.029340395	-0.036721757	-0.000658563	-0.007381363	1.007381363	1.000658563	2931anc	2931_4	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	884	0	C	16778	43397	167780	433970	0.063063104	0.064544517	-0.001481413	0.061842395	-0.002702122	-0.0166041	-0.03028615	-0.001220709	-0.01368205	1.01368205	1.001220709	2931anc	2931_5	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
667	199	0	D	10855	22336	108550	223360	0.053043501	0.073158701	-0.0201152	0.053043501	-0.0201152	-0.262855835	-0.262855835	0	0	1	1	2931anc	2931_6	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
749	983	0	C	9953	45247	99530	452470	0.050932035	0.063873621	-0.012941586	0.061842395	-0.002031226	-0.145052979	-0.022766558	0.01091036	0.12228642	0.87771358	0.98908964	2931L1	2931L1	1050.109001	2931	1	ma	82	49	33	7	7	12	19	10	1	0	30	20	3	77	12
743	119	0	D	3682	12211	36820	122110	0.040657296	0.072224522	-0.031567226	0.053043501	-0.01918102	-0.412505451	-0.250648425	0.012386205	0.161857026	0.838142974	0.987613795	2931L11	2931L11	1021.13559	2931	1	ma	77	45	32	8	3	11	26	2	2	1	31	24	4	74	11
213	564	0	B	4267	31033	42670	310330	0.055207908	0.06573268	-0.010524772	0.058633291	-0.007099389	-0.124421051	-0.083927086	0.003425383	0.040493965	0.959506035	0.996574617	2931L13	2931L13	1041.362593	2931	1	ma	88	63	25	9	4	19	30	6	3	1	40	28	3	83	14
730	253	0	A	4898	45647	48980	456470	0.043813779	0.078103008	-0.034289229	0.06085985	-0.017243158	-0.390528112	-0.19638639	0.017046071	0.194141721	0.805858279	0.982953929	2931L14	2931L14	1016.111493	2931	1	ma	67	48	19	12	11	15	13	6	2	1	22	9	3	56	23
1275	1179	0	C	13277	29681	132770	296810	0.048392418	0.057587767	-0.009195349	0.061842395	0.004254629	-0.103064085	0.04768709	0.013449977	0.150751176	0.849248824	0.986550023	2931L15	2931L15	1052.540951	2931	1	ma	128	81	47	13	11	22	28	9	10	1	48	23	6	72	69
533	905	0	C	10468	78330	104680	783300	0.055001479	0.070451418	-0.015449939	0.061842395	-0.008609023	-0.173167319	-0.096492376	0.006840917	0.076674943	0.923325057	0.993159083	2931L2	2931L2	1056.765369	2931	1	ma	115	71	44	8	12	25	24	6	4	1	35	15	4	82	41
1856	249	0	A	23145	25495	231450	254950	0.050270211	0.072201769	-0.021931558	0.06085985	-0.011341919	-0.249783688	-0.129175789	0.010589639	0.120607899	0.879392101	0.989410361	2931L3	2931L3	1000.399127	2931	1	ma	46	31	15	6	4	6	10	9	2	0	21	8	5	39	13
573	234	0	D	2742	22835	27420	228350	0.040293148	0.071701184	-0.031408036	0.053043501	-0.018657683	-0.410425238	-0.243809706	0.012750353	0.166615533	0.833384467	0.987249647	2931L4	2931L4	1011.411706	2931	1	ma	96	58	38	4	6	13	30	1	8	0	39	30	3	81	19
546	194	0	D	24160	22173	241600	221730	0.063462706	0.073347474	-0.009884769	0.053043501	-0.020303973	-0.129169441	-0.265322638	-0.010419205	-0.136153197	1.136153197	1.010419205	2931L5	2931L5	993.8603657	2931	1	ma	310	205	106	25	15	60	75	32	22	1	130	72	12	265	70
968	155	0	D	7439	13171	74390	131710	0.045227549	0.070259716	-0.025032167	0.053043501	-0.017216214	-0.327108415	-0.224973279	0.007815952	0.102135136	0.897864864	0.992184048	2931L6	2931L6	1083.095655	2931	1	ma	78	47	31	6	0	15	23	6	3	0	32	20	2	62	22
