version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2000"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2003"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2005"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2006"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2009"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2010"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2011"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2012"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2013"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2015"	18.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"2016"	16.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"ECHR"	"2000"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"ECHR"	"2012"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"ECHR"	"2015"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"ECHR"	"2016"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"ECHR"	"2003"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"ECHR"	"2010"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"ECHR"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"ECHR"	"2014"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ROU"	"ECHR"	"2016"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2000"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2005"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2006"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2007"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2008"	24.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2009"	20.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2010"	43.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2011"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2012"	36.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2013"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2014"	17.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2015"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"SVN"	"ECHR"	"2016"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"AUT"	"ESP"	"1985"	1.0
